Date,Open,High,Low,Close,Adj Close,Volume
2020-05-11,1.800000,1.870000,1.500000,1.590000,1.590000,9081900
2020-05-12,1.610000,1.740000,1.520000,1.600000,1.600000,4215700
2020-05-13,1.640000,1.910000,1.600000,1.890000,1.890000,8303700
2020-05-14,2.100000,2.580000,1.920000,2.280000,2.280000,21548400
2020-05-15,2.270000,2.340000,2.010000,2.080000,2.080000,6998700
2020-05-18,2.180000,2.310000,2.060000,2.190000,2.190000,5523100
2020-05-19,2.200000,2.415000,2.150000,2.230000,2.230000,5389200
2020-05-20,2.450000,2.750000,2.370000,2.530000,2.530000,12852500
2020-05-21,2.430000,2.520000,2.150000,2.330000,2.330000,6331400
2020-05-22,2.370000,2.380000,2.200000,2.240000,2.240000,3030100
2020-05-26,2.170000,2.170000,1.930000,1.950000,1.950000,5653900
2020-05-27,2.130000,2.210000,1.990000,2.120000,2.120000,4581900
2020-05-28,2.220000,2.350000,2.180000,2.210000,2.210000,4949300
2020-05-29,2.200000,2.210000,2.060000,2.140000,2.140000,2455600
2020-06-01,2.140000,2.320000,2.140000,2.270000,2.270000,4076800
2020-06-02,2.620000,2.980000,2.340000,2.510000,2.510000,16278000
2020-06-03,2.600000,2.650000,2.320000,2.410000,2.410000,5059300
2020-06-04,2.540000,2.740000,2.410000,2.630000,2.630000,6913300
2020-06-05,2.570000,2.680000,2.420000,2.600000,2.600000,4229500
2020-06-08,2.580000,2.660000,2.480000,2.570000,2.570000,3545800
2020-06-09,2.550000,2.650000,2.430000,2.620000,2.620000,3665000
2020-06-10,2.680000,3.310000,2.570000,3.100000,3.100000,18090900
2020-06-11,2.680000,2.819000,2.160000,2.180000,2.180000,11006000
2020-06-12,2.450000,2.462000,2.140000,2.290000,2.290000,4853900
2020-06-15,2.100000,2.375000,2.050000,2.310000,2.310000,4674200
2020-06-16,2.460000,2.480000,2.280000,2.350000,2.350000,2646800
2020-06-17,2.350000,2.350000,2.210000,2.270000,2.270000,1699400
2020-06-18,2.270000,2.280000,2.190000,2.190000,2.190000,1934300
2020-06-19,2.250000,2.320000,2.110000,2.110000,2.110000,3511000
2020-06-22,2.230000,2.700000,2.140000,2.510000,2.510000,10076100
2020-06-23,2.568000,2.840000,2.410000,2.600000,2.600000,7705100
2020-06-24,2.500000,2.520000,2.240000,2.370000,2.370000,5062600
2020-06-25,2.220000,2.380000,2.220000,2.330000,2.330000,1906300
2020-06-26,2.280000,2.300000,2.150000,2.200000,2.200000,2817900
2020-06-29,2.163000,2.180000,2.040000,2.140000,2.140000,2961000
2020-06-30,2.100000,2.360000,2.080000,2.220000,2.220000,3369000
2020-07-01,2.210000,2.410000,2.210000,2.340000,2.340000,3538300
2020-07-02,2.380000,2.385000,2.190000,2.290000,2.290000,3108700
2020-07-06,2.350000,2.490000,2.310000,2.380000,2.380000,4540800
2020-07-07,2.380000,2.385000,2.230000,2.290000,2.290000,2244000
2020-07-08,2.330000,2.580000,2.308000,2.540000,2.540000,9039500
2020-07-09,2.590000,2.600000,2.260000,2.360000,2.360000,5068600
2020-07-10,2.300000,2.390000,2.250000,2.330000,2.330000,1765900
2020-07-13,2.340000,2.376000,2.160000,2.180000,2.180000,3641200
2020-07-14,2.150000,2.250000,2.090000,2.250000,2.250000,1919500
2020-07-15,2.270000,2.280000,2.180000,2.260000,2.260000,1526600
2020-07-16,2.200000,2.230000,2.160000,2.220000,2.220000,1761600
2020-07-17,2.250000,2.260000,2.180000,2.230000,2.230000,1595100
2020-07-20,2.220000,2.270000,2.150000,2.260000,2.260000,2079900
2020-07-21,2.350000,2.370000,2.250000,2.300000,2.300000,3792900
2020-07-22,2.300000,2.370000,2.240000,2.340000,2.340000,5382500
2020-07-23,2.400000,2.450000,2.230000,2.290000,2.290000,7573500
2020-07-24,2.250000,2.285000,2.060000,2.220000,2.220000,8569200
2020-07-27,2.620000,3.080000,2.470000,2.640000,2.640000,52558900
2020-07-28,2.870000,3.200000,2.660000,2.770000,2.770000,43346200
2020-07-29,2.880000,2.910000,2.700000,2.750000,2.750000,15147400
2020-07-30,2.561000,2.660000,2.360000,2.550000,2.550000,10283700
2020-07-31,2.600000,2.800000,2.430000,2.640000,2.640000,14306300
2020-08-03,2.900000,4.000000,2.750000,3.500000,3.500000,58695600
2020-08-04,3.200000,3.670000,3.030000,3.400000,3.400000,14269800
2020-08-05,4.070000,4.450000,3.830000,4.010000,4.010000,39590900
2020-08-06,4.370000,4.580000,4.020000,4.250000,4.250000,27231000
2020-08-07,4.120000,4.150000,3.510000,3.770000,3.770000,14748700
2020-08-10,4.255000,4.280000,4.000000,4.130000,4.130000,12386000
2020-08-11,3.780000,4.040000,3.540000,3.620000,3.620000,10213600
2020-08-12,3.750000,3.830000,3.500000,3.540000,3.540000,5661500
2020-08-13,3.420000,3.750000,3.050000,3.610000,3.610000,11009400
2020-08-14,3.670000,3.840000,3.390000,3.780000,3.780000,10691500
2020-08-17,3.950000,4.410000,3.770000,4.150000,4.150000,21029500
2020-08-18,4.000000,4.200000,3.910000,4.040000,4.040000,9456000
2020-08-19,3.870000,4.060000,3.630000,3.690000,3.690000,8062900
2020-08-20,3.730000,4.050000,3.710000,3.990000,3.990000,7506700
2020-08-21,3.820000,3.940000,3.670000,3.725000,3.725000,5926100
2020-08-24,3.780000,3.790000,3.520000,3.630000,3.630000,4019400
2020-08-25,3.410000,3.600000,3.180000,3.580000,3.580000,7397600
2020-08-26,3.400000,3.560000,3.350000,3.410000,3.410000,3852000
2020-08-27,3.460000,3.500000,3.150000,3.270000,3.270000,4789700
2020-08-28,3.230000,3.650000,3.210000,3.590000,3.590000,8606100
2020-08-31,3.660000,3.700000,3.350000,3.500000,3.500000,4588200
2020-09-01,3.520000,3.880000,3.420000,3.750000,3.750000,8451200
2020-09-02,3.510000,3.520000,3.300000,3.430000,3.430000,5030500
2020-09-03,3.100000,3.290000,3.060000,3.160000,3.160000,5900100
2020-09-04,3.080000,3.200000,2.540000,3.110000,3.110000,8056200
2020-09-08,2.840000,3.020000,2.630000,2.820000,2.820000,4434900
2020-09-09,2.880000,3.090000,2.880000,2.950000,2.950000,3976600
2020-09-10,3.010000,3.200000,2.780000,2.810000,2.810000,4480900
2020-09-11,2.870000,2.970000,2.750000,2.910000,2.910000,2951000
2020-09-14,3.068000,3.120000,2.874000,3.020000,3.020000,4284400
2020-09-15,3.110000,3.130000,2.950000,3.000000,3.000000,2856100
2020-09-16,3.020000,3.280000,2.960000,3.050000,3.050000,6377500
2020-09-17,2.920000,3.060000,2.900000,3.000000,3.000000,2852400
2020-09-18,3.030000,3.060000,2.880000,3.050000,3.050000,3944300
2020-09-21,2.850000,3.030000,2.750000,2.930000,2.930000,3625500
2020-09-22,2.950000,2.960000,2.835000,2.930000,2.930000,2511300
2020-09-23,2.900000,2.920000,2.600000,2.600000,2.600000,4315400
2020-09-24,2.550000,2.770000,2.350000,2.690000,2.690000,4218800
2020-09-25,2.660000,2.780000,2.600000,2.680000,2.680000,3685800
2020-09-28,2.790000,2.810000,2.660000,2.740000,2.740000,3243400
2020-09-29,2.700000,2.780000,2.660000,2.760000,2.760000,1996600
2020-09-30,2.730000,2.757000,2.630000,2.700000,2.700000,1901500
2020-10-01,2.710000,2.740000,2.620000,2.650000,2.650000,1740100
2020-10-02,2.530000,2.610000,2.500000,2.600000,2.600000,2138300
2020-10-05,2.630000,2.680000,2.570000,2.660000,2.660000,2047500
2020-10-06,2.660000,2.670000,2.530000,2.570000,2.570000,2444300
2020-10-07,2.570000,2.660000,2.547000,2.660000,2.660000,2148100
2020-10-08,2.770000,3.090000,2.720000,2.930000,2.930000,9775100
2020-10-09,3.150000,3.150000,2.960000,3.095000,3.095000,6531000
2020-10-12,3.220000,3.650000,3.160000,3.500000,3.500000,12692100
2020-10-13,3.467000,3.470000,3.220000,3.370000,3.370000,5209300
