Date,Open,High,Low,Close,Adj Close,Volume
2020-10-14,0.980000,0.990000,0.950000,0.950000,0.950000,3592700
2020-10-15,0.950000,0.970000,0.910000,0.940000,0.940000,3728500
2020-10-16,0.950000,0.950000,0.920000,0.920000,0.920000,3407500
2020-10-19,0.920000,0.920000,0.890000,0.900000,0.900000,3301000
2020-10-20,0.890000,0.900000,0.850000,0.860000,0.860000,3228400
2020-10-21,0.880000,0.890000,0.850000,0.850000,0.850000,3156200
2020-10-22,0.920000,1.150000,0.910000,0.960000,0.960000,38285800
2020-10-23,0.950000,0.960000,0.880000,0.940000,0.940000,6300900
2020-10-26,0.900000,0.920000,0.880000,0.900000,0.900000,4624900
2020-10-27,0.900000,0.900000,0.870000,0.880000,0.880000,3147700
2020-10-28,0.860000,0.870000,0.830000,0.840000,0.840000,3157800
2020-10-29,0.850000,0.850000,0.810000,0.830000,0.830000,2247400
2020-10-30,0.800000,0.830000,0.800000,0.820000,0.820000,2805300
2020-11-02,0.800000,0.830000,0.800000,0.820000,0.820000,2319900
2020-11-03,0.830000,0.870000,0.820000,0.840000,0.840000,2304400
2020-11-04,0.850000,0.880000,0.840000,0.870000,0.870000,1739800
2020-11-05,0.900000,0.940000,0.880000,0.930000,0.930000,4079800
2020-11-06,0.950000,0.950000,0.910000,0.940000,0.940000,2723300
2020-11-09,0.980000,1.100000,0.940000,0.970000,0.970000,10425100
2020-11-10,0.930000,0.930000,0.880000,0.890000,0.890000,5271700
2020-11-11,0.900000,0.910000,0.890000,0.910000,0.910000,2406700
2020-11-12,0.950000,1.040000,0.930000,0.970000,0.970000,10522000
2020-11-13,1.040000,1.070000,0.980000,0.990000,0.990000,14235600
2020-11-16,1.190000,1.220000,1.100000,1.170000,1.170000,32133300
2020-11-17,1.080000,1.160000,1.030000,1.100000,1.100000,13471600
2020-11-18,1.130000,1.320000,1.130000,1.160000,1.160000,27181700
2020-11-19,1.240000,1.280000,1.160000,1.200000,1.200000,26159500
2020-11-20,1.360000,1.750000,1.290000,1.540000,1.540000,110318300
2020-11-23,2.090000,2.880000,2.080000,2.620000,2.620000,281082800
2020-11-24,3.950000,4.750000,2.210000,3.150000,3.150000,351923500
2020-11-25,2.670000,2.910000,2.510000,2.710000,2.710000,87585700
2020-11-27,3.010000,3.160000,2.700000,2.770000,2.770000,49022200
2020-11-30,2.990000,3.020000,2.550000,2.770000,2.770000,63034900
2020-12-01,2.640000,2.680000,2.080000,2.200000,2.200000,62479400
2020-12-02,1.990000,2.500000,1.800000,2.330000,2.330000,75530700
2020-12-03,2.370000,2.380000,2.110000,2.170000,2.170000,32309600
2020-12-04,2.170000,2.170000,1.980000,2.020000,2.020000,37270200
2020-12-07,2.070000,2.200000,2.000000,2.070000,2.070000,36479900
2020-12-08,2.160000,2.200000,2.080000,2.170000,2.170000,32119400
2020-12-09,2.130000,2.140000,2.000000,2.060000,2.060000,29041300
2020-12-10,1.970000,2.030000,1.870000,1.920000,1.920000,24842200
2020-12-11,1.820000,1.900000,1.780000,1.840000,1.840000,19654900
2020-12-14,1.910000,1.990000,1.820000,1.870000,1.870000,19268900
2020-12-15,1.880000,1.890000,1.820000,1.870000,1.870000,13620900
2020-12-16,1.870000,1.880000,1.810000,1.860000,1.860000,12694000
2020-12-17,1.820000,1.850000,1.760000,1.790000,1.790000,17995800
2020-12-18,1.770000,2.050000,1.660000,1.980000,1.980000,43235900
2020-12-21,2.030000,2.100000,1.910000,2.040000,2.040000,33955100
2020-12-22,2.180000,2.400000,2.070000,2.140000,2.140000,58256200
2020-12-23,2.210000,2.300000,2.150000,2.180000,2.180000,27256600
2020-12-24,2.210000,2.270000,2.110000,2.270000,2.270000,19536500
2020-12-28,2.580000,2.600000,2.310000,2.340000,2.340000,58774700
2020-12-29,2.320000,2.320000,2.030000,2.090000,2.090000,42029900
2020-12-30,2.050000,2.110000,1.950000,1.960000,1.960000,31974900
2020-12-31,1.990000,2.080000,1.920000,1.990000,1.990000,22414100
2021-01-04,2.000000,2.150000,1.900000,2.060000,2.060000,25352300
2021-01-05,2.140000,2.370000,2.070000,2.340000,2.340000,51609200
2021-01-06,2.380000,2.530000,2.120000,2.190000,2.190000,57678600
2021-01-07,2.340000,3.000000,2.320000,2.980000,2.980000,103883400
2021-01-08,3.470000,3.890000,3.000000,3.160000,3.160000,174938900
2021-01-11,3.050000,3.370000,2.820000,2.880000,2.880000,79117600
2021-01-12,2.930000,2.980000,2.730000,2.880000,2.880000,43440900
2021-01-13,2.870000,2.920000,2.700000,2.710000,2.710000,41381700
2021-01-14,2.840000,3.640000,2.820000,3.300000,3.300000,135387400
2021-01-15,3.670000,3.680000,3.070000,3.180000,3.180000,83920800
2021-01-19,3.270000,3.440000,3.070000,3.340000,3.340000,50337600
2021-01-20,3.400000,3.400000,3.140000,3.270000,3.270000,25317100
2021-01-21,3.220000,3.230000,3.050000,3.180000,3.180000,26842200
2021-01-22,3.110000,3.540000,3.090000,3.470000,3.470000,45933500
2021-01-25,3.830000,4.150000,3.520000,4.040000,4.040000,100628100
2021-01-26,4.240000,4.250000,3.790000,3.860000,3.860000,57196300
2021-01-27,3.580000,4.580000,3.520000,4.110000,4.110000,85057700
2021-01-28,4.200000,4.480000,3.810000,3.970000,3.970000,48663300
2021-01-29,3.990000,4.140000,3.800000,3.870000,3.870000,28651000
2021-02-01,4.070000,4.750000,3.970000,4.340000,4.340000,95396800
2021-02-02,4.550000,4.550000,4.080000,4.350000,4.350000,47170400
2021-02-03,4.390000,4.730000,4.360000,4.420000,4.420000,39345100
2021-02-04,4.560000,5.320000,4.450000,5.290000,5.290000,86624800
2021-02-05,5.510000,5.530000,4.860000,4.950000,4.950000,65725700
2021-02-08,5.050000,5.450000,5.040000,5.430000,5.430000,40726900
2021-02-09,5.390000,5.410000,5.120000,5.290000,5.290000,32389400
2021-02-10,5.300000,5.370000,4.860000,4.960000,4.960000,38972300
2021-02-11,5.030000,5.040000,4.650000,4.750000,4.750000,33604800
2021-02-12,4.600000,4.820000,4.280000,4.620000,4.620000,33449800
2021-02-16,4.810000,4.880000,4.380000,4.470000,4.470000,30268900
2021-02-17,4.430000,4.440000,3.920000,4.080000,4.080000,37127700
2021-02-18,3.860000,4.030000,3.710000,3.730000,3.730000,31272600
2021-02-19,3.990000,4.150000,3.760000,3.860000,3.860000,27325600
2021-02-22,3.950000,4.030000,3.450000,3.530000,3.530000,36319500
2021-02-23,3.050000,3.370000,2.710000,3.230000,3.230000,43761500
2021-02-24,3.550000,3.630000,3.330000,3.450000,3.450000,29376000
2021-02-25,3.450000,3.500000,3.100000,3.180000,3.180000,31079000
2021-02-26,3.250000,3.310000,3.030000,3.190000,3.190000,21853300
2021-03-01,3.440000,3.890000,3.360000,3.630000,3.630000,43610000
2021-03-02,3.770000,3.780000,3.250000,3.380000,3.380000,30469900
2021-03-03,3.290000,3.390000,3.150000,3.190000,3.190000,21940300
2021-03-04,3.040000,3.120000,2.650000,2.860000,2.860000,45407600
2021-03-05,2.960000,2.970000,2.360000,2.850000,2.850000,36782400
2021-03-08,2.920000,3.050000,2.770000,2.820000,2.820000,22717900
2021-03-09,3.120000,3.330000,2.940000,3.240000,3.240000,37293500
2021-03-10,3.430000,3.430000,3.070000,3.200000,3.200000,28782400
2021-03-11,3.270000,3.470000,3.200000,3.440000,3.440000,26267300
2021-03-12,3.240000,3.390000,3.180000,3.360000,3.360000,18523000
2021-03-15,3.410000,3.410000,3.220000,3.300000,3.300000,18467300
2021-03-16,3.270000,3.280000,3.010000,3.070000,3.070000,24491300
2021-03-17,2.960000,3.290000,2.900000,3.250000,3.250000,35053100
2021-03-18,3.130000,3.230000,2.940000,2.970000,2.970000,23437500
2021-03-19,3.000000,3.100000,2.850000,3.080000,3.080000,19940200
2021-03-22,3.110000,3.230000,3.060000,3.080000,3.080000,25393100
2021-03-23,3.020000,3.020000,2.810000,2.820000,2.820000,24077800
2021-03-24,2.920000,2.920000,2.630000,2.660000,2.660000,23554500
2021-03-25,2.480000,2.850000,2.430000,2.800000,2.800000,19589400
2021-03-26,2.800000,2.830000,2.650000,2.790000,2.790000,12599600
2021-03-29,2.790000,2.880000,2.720000,2.800000,2.800000,18637100
2021-03-30,2.810000,2.900000,2.680000,2.880000,2.880000,14048800
2021-03-31,2.930000,2.980000,2.830000,2.920000,2.920000,23092400
